"Deployment.Location.ID","Effort","Alces alces","Canis latrans","Canis lupus","Castor canadensis","Cervus canadensis","Erethizon dorsatum","Glaucomys sabrinus","Gulo gulo","Lepus americanus","Lynx canadensis","Lynx rufus","Martes americana","Martes pennanti","Mephitis mephitis","Mustela erminea","Mustela frenata","Odocoileus hemionus","Odocoileus virginianus","Oreamnos americanus","Ovis canadensis","Procyon lotor","Puma concolor","Spermophilus columbianus","Tamias minimus","Tamiasciurus hudsonicus","Taxidea taxus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"CA-31",371,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,10,1,0
"CA-32",372,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,9,0,3
"CA-33",372,23,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,11,0,0,0,2,0,0,0,0,3,2,4
"CA-35",372,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,7,33,0,26,0,0,0,0,0,0,5,1,1
"CA-36",369,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,3,0,12,2,2
"CA-37",369,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,108,0,0,0,0,0,0,0,0,13,0,16
"CA-38",369,0,0,0,0,0,0,0,0,73,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,3,0,0
"CA-39",371,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,1,1
"CA-41",368,0,3,0,0,2,0,0,0,30,0,7,0,0,1,0,0,3,30,0,0,0,1,0,0,3,0,11,2,0
"CA-42",368,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,1,0
"CA-43",373,26,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,10,101,0,0,0,0,0,0,0,0,19,3,10
"CA-44",368,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,4,37,0,0,0,0,0,0,0,0,11,5,0
"CA-45",370,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,16,0,0,0,0,0,0,1,0,4,0,3
"CA-48",368,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,4,0,5,4,1
"CA-49",366,8,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,9,0,1
"CA-51",368,6,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,2,0,0,0,1,1,0,0,0,0,13,0
"CA-52",374,11,2,1,0,2,0,0,0,13,0,0,0,0,0,0,0,8,12,1,0,0,0,6,0,0,0,2,5,0
"CA-53",368,0,1,0,0,0,0,0,0,40,2,0,1,1,0,2,0,6,0,0,0,0,0,34,1,3,0,9,2,0
"CA-54",370,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,0,0,0,8,0,0
"CA-55",368,2,1,0,0,2,0,0,0,4,1,0,1,0,0,0,0,2,11,0,0,0,0,0,0,1,0,6,1,0
"CA-56",365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0,3,0,6,3,1
"CA-57",366,5,0,1,4,0,0,0,0,76,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,2,2
"CA-58",366,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,89,0,0,0,2,0,0,0,0,14,1,1
"CA-6",282,3,1,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"CA-61",374,27,1,3,0,3,0,0,0,4,2,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,6,3,0
"CA-62",369,4,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,10,0,8,1,0
"CA-63",370,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,40,0,0,0,0,0,0,1,0,4,2,0
"CA-65",366,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,64,1,0,1,0,0,3,0,0,0,1,0,1
"CA-66",368,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,6,0,0
"CA-67",368,6,11,1,0,2,0,0,0,0,0,0,1,0,0,0,0,19,24,0,0,0,3,1,0,1,3,19,2,42
"CA-68",368,7,1,1,0,1,0,0,0,0,0,0,4,0,0,2,0,8,33,0,0,0,0,0,0,0,0,17,0,15
"CA-70",368,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,7,7,0
"CA-71",160,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0
"CA-72",368,3,0,1,0,0,0,0,0,78,9,0,0,0,0,0,0,5,5,0,0,0,0,8,0,0,0,5,3,0
"CA-74",368,6,5,0,0,0,0,0,0,30,0,0,2,1,0,0,0,4,2,0,0,0,4,0,0,0,0,7,0,10
"CA-8",372,1,25,1,0,0,0,0,0,207,4,0,0,0,1,0,0,18,16,0,0,0,0,0,0,5,0,3,0,1
"CA-9",372,1,7,2,0,1,0,0,0,9,0,0,0,0,2,0,0,7,32,0,0,0,0,0,0,1,0,5,1,3
